精金战甲	3
杏黄染（鞋子）	3
杏黄绣（护手）	1
莹白绣（护手）	1
靛蓝绣（护手）	2
铁黑绣（护手）	2
杏黄染（腰带）	1
莹白染（腰带）	1
靛蓝染（腰带）	2
橘红染（腰带）	2
铁黑染（腰带）	2
橘红绣（头部）	3
橘红染（下装）	3
橙红绣（头部）	3
橙红染（下装）	3
吉黄绣（鞋子）	3
吉黄染（鞋子）	3
藏青绣（头部）	3
藏青染（下装）	3
海棠绣（头部）	4
海棠染（下装）	4
海上磨石	1
金刚磨石	2
百炼甲片	2
百炼银甲	2
银龙战甲	3
鬼虎甲片	3
鹅黄绣（护手）	1
净白绣（护手）	1
蓝叶绣（护手）	1
鹅黄染（下装）	2
净白染（下装）	2
蓝叶染（腰带）	1
妃红绣（护手）	2
煤黑绣（护手）	2
妃红染（下装）	1
煤黑染（腰带）	2
煤黑绣（头部）	1
净白绣（头部）	2
鹅黄绣（头部）	2
妃红染（腰带）	1
净白染（腰带）	1
鹅黄染（腰带）	1
墨灰绣（鞋子）	1
墨灰染（鞋子）	1
杏黄绣（鞋子）	3
橘红绣（护手）	2
山水绣染（护手）	1
湛蓝绣染（护手）	1
翠青绣染（下装）	1
山水绣染（头部）	1
铁血绣染（护手）	2
紫碧绣染（下装）	2
铁血绣染（头部）	2
紫碧甲片（腰带）	1
湛蓝甲片（腰带）	1
铁血甲片（上装）	1
紫碧甲片（头部）	1
翠青甲片（腰带）	2
湛蓝甲片（上装）	2
铁血甲片（头部）	2
线刻·金鸣	3
线刻·文壤	3
线刻·涛海	3
线刻·旗偃	3
百鬼磨石	3
杏黄绣（头部）	3
莹白绣（头部）	3
莹白染（下装）	3
藏青染（腰带）	3
藏青绣（护手）	3
岩蓝染（下装）	3
岩蓝绣（头部）	3
杏黄染（下装）	3
岐黄绣（上装）	3
岐黄绣（护手）	3
流纹绣（上装）	3
流纹绣（护手）	3
角砾绣（上装）	3
角砾绣（护手）	3
益元绣（上装）	3
益元绣（护手）	3
云锡绣（上装）	3
云英绣（护手）	3
岐黄染（下装）	3
岐黄染（腰带）	3
流纹染（下装）	3
流纹染（腰带）	3
角砾染（下装）	3
角砾染（腰带）	3
益元染（下装）	3
益元染（腰带）	3
云锡染（下装）	3
云英染（腰带）	3
黑曜绣（上装）	4
黑曜绣（护手）	4
雨花绣（上装）	4
雨花绣（护手）	4
田黄绣（上装）	4
田黄绣（护手）	4
云英绣（上装）	4
云锡绣（护手）	4
黑曜染（下装）	4
黑曜染（腰带）	4
雨花染（下装）	4
雨花染（腰带）	4
田黄染（下装）	4
田黄染（腰带）	4
云英染（下装）	4
云锡染（腰带）	4
青龙绣（上装）	4
青龙绣（护手）	4
白虎绣（上装）	4
白虎绣（护手）	4
朱雀绣（上装）	4
朱雀绣（护手）	4
鬼虎绣（上装）	4
鬼虎绣（护手）	4
青龙染（下装）	4
青龙染（腰带）	4
白虎染（下装）	4
白虎染（腰带）	4
朱雀染（下装）	4
朱雀染（腰带）	4
鬼虎染（下装）	4
鬼虎染（腰带）	4
岐黄甲片（头部）	3
岐黄甲片（鞋子）	3
流纹甲片（头部）	3
流纹甲片（鞋子）	3
角砾甲片（头部）	3
角砾甲片（鞋子）	3
益元甲片（鞋子）	3
益元甲片（头部）	3
云锡甲片（头部）	3
云英甲片（鞋子）	3
磷灰磨石	4
黑曜甲片（头部）	4
黑曜甲片（鞋子）	4
雨花甲片（头部）	4
雨花甲片（鞋子）	4
田黄甲片（头部）	4
田黄甲片（鞋子）	4
云英甲片（头部）	4
云锡甲片（鞋子）	4
巨灵熔锭	4
青龙甲片（头部）	4
青龙甲片（鞋子）	4
白虎甲片（头部）	4
白虎甲片（鞋子）	4
朱雀甲片（头部）	4
朱雀甲片（鞋子）	4
鬼虎甲片（头部）	4
鬼虎甲片（鞋子）	4
鬼虎磨石	4
线刻·金铭	3
线刻·文攘	3
线刻·韬海	3
线刻·旗晏	3
雕纹·玉渊	4
雕纹·铃琅	4
雕纹·梦泽	4
雕纹·展凤	4
辰龙·馈岁	2
辰龙·别岁	2
辰龙·分岁	2
辰龙·守岁	2
霸蜀染（下装）	3
霸蜀染（腰带）	3
霸蜀绣（上装）	3
霸蜀绣（护手）	3
霸蜀甲片（头部）	3
霸蜀甲片（鞋子）	3
线刻·韬光	3
